term,frequency,associated_entries,entry_types
Lymphatic system,6,"Acute lymphangitis; Fistula; Laryngeal cancer; Modified radical mastectomy; Swollen glands; Procedures. 2nd ed. New York: Thieme, 2009.",Cancer/Oncological; Disease/Condition; Surgical Procedure
Nancy Ross,6,"Antibiotics, topical; Bone disorder drugs; Diuretics; Drugs used in labor; Sulfonamides; Urinary anti-infectives",Drug/Medication; Disease/Condition
Pathogen,6,Animal bite infections; Emerging diseases; Hepatitis B; HPV vaccination; Microbiome; Organic food,Disease/Disorder; Disease/Condition
Stroke,6,Appetite suppressant drugs; Risks; Hearing loss; Ischemia; Neurological exam; Physical therapy,Drug/Medication; Alternative Therapy; Disease/Condition
Ulcer,6,Canker sores; Dermatitis; Diabetic foot infections; Genital herpes; Impetigo; Yaws,Disease/Disorder; Disease/Condition
Ultrasound,6,Antenatal testing; Echinococcosis; Ganglion; Naturopathic medicine; Situs inversus; echocardiography,Diagnostic Test; Disease/Condition
Antibiotic,5,Antiulcer drugs; Cephalosporins; Isolation; Nasopharyngeal culture; Throat culture,Drug/Medication; Disease/Condition
Antibodies,5,Chikungunya; Ebola; Pneumonia vaccine; Q fever; Whooping cough,Disease/Condition
Bacteremia,5,"Erysipelas; default.htm (accessed December 9, 2014).; Pneumonia vaccine; Pyelonephritis; Septic shock",Disease/Condition
Culture,5,Animal bite infections; Legionnaires’ disease; Julia Barrett; Pleural effusion; cultures,Disease/Disorder; Disease/Condition
Diabetes mellitus,5,Bursitis; Glycosylated hemoglobin test; Hemochromatosis; • chronic lymphocytic thyroiditis; Turner syndrome,Diagnostic Test; Disease/Disorder; Disease/Condition
Diverticulitis,5,Barium enema; Bowel training; Constipation; Ostomy; Senior nutrition,Nutrition/Diet; Disease/Condition; Surgical Procedure
Echocardiogram,5,2013).; Congestive heart failure; Heart transplantation; Heart valve repair; Ventricular septal defect,Disease/Disorder; Disease/Condition
Embolism,5,Colostomy; Hypercoagulation disorders; Laparoscopy; Peripheral vascular disease; Thrombophlebitis,Disease/Disorder; Disease/Condition; Surgical Procedure
Fallopian tubes,5,Abscess; Contraception; DES exposure; Hysterectomy; Oophorectomy,Disease/Condition; Surgical Procedure
Fistula,5,Endorectal ultrasound; Endoscopic ultrasound; Esophageal atresia; Lymphogranuloma venereum; Total parenteral nutrition,Diagnostic Test; Nutrition/Diet; Disease/Condition
Gangrene,5,Buerger’s disease; Debridement; Flesh-eating disease; Hernia repair; Intermittent claudication,Disease/Disorder; Disease/Condition
Glucose,5,Galactosemia; Gastroenteritis; Glycosylated hemoglobin test; Low-carbohydrate diets; Urinary anti-infectives,Diagnostic Test; Nutrition/Diet; Disease/Condition
Hormone,5,Addison’s disease; Anabolic steroid use; Dysmenorrhea; Intrauterine device; Puberty,Disease/Disorder; Disease/Condition
Hysterectomy,5,Dysmenorrhea; Fistula; General surgery; Laparoscopy; Oophorectomy,Disease/Condition; Surgical Procedure
Lesion,5,Digital rectal examination; Leishmaniasis; Smallpox; Testicular surgery; Vocal cord nodules and polyps,Diagnostic Test; Disease/Condition
Lymph nodes,5,Hysterectomy; Laryngeal cancer; Lung biopsy; Radical neck dissection; Swollen glands,Diagnostic Test; Cancer/Oncological; Disease/Condition; Surgical Procedure
Metabolism,5,"G A LE EN CY C LO PE DI A O F ME D IC I NE , 5 T H E DI T IO N; Drug metabolism/interactions; Fever; Galactosemia; Malaria",Drug/Medication; Disease/Condition
Mutation,5,Achondroplasia; Familial polyposis; Neurofibromatosis; Osteogenesis imperfecta; X-linked agammaglobulinemia,Disease/Disorder; Disease/Condition
Non,5,Genetic counseling; Nocardiosis; Nocardiosis; Nocardiosis; Nocardiosis,Disease/Disorder; Disease/Condition
Over,5,Electrolyte supplements; Electrolyte supplements; Fecal occult blood test; Mallet finger; Mastitis,Diagnostic Test; Nutrition/Diet; Disease/Condition
