term,frequency,associated_entries,entry_types
Radionuclide,2,computed tomography; Thyroid nuclear medicine scan,Diagnostic Test; Disease/Condition
Rape,2,Condoms; Condoms,Disease/Condition
Rash,2,Dermatitis; family history of eczema and/or allergies.,Disease/Condition
Recommended Dietary Allowance,2,Mineral deficiency; Mineral toxicity,Disease/Disorder; Nutrition/Diet
Recurrent laryngeal nerve,2,Parathyroidectomy; Vocal cord paralysis,Disease/Condition; Surgical Procedure
Reflux,2,Pyelonephritis; Vesicoureteral reflux,Disease/Condition
Relapse,2,Addiction; Electroconvulsive therapy,Alternative Therapy; Disease/Condition
Renal,2,Kidney nuclear medicine scan; Retrograde urethrography,Diagnostic Test; Disease/Disorder
Rheumatic fever,2,2013).; Statistics Reports. 2013. http://www.plasticsurgery.org/,Disease/Condition; Surgical Procedure
Rheumatoid arthritis,2,Arthroscopic surgery; Psoriatic arthritis,Disease/Condition; Surgical Procedure
Rheumatologist,2,Knee injuries; SAPHO syndrome,Disease/Disorder; Disease/Condition
Rhinitis,2,"Anosmia; Times (October 22, 2001): A1.",Disease/Condition
Rolfing,2,Aston-Patterning; Bruxism,Disease/Condition
Root canal treatment,2,Dental trauma; Dental x rays,Disease/Condition
Rupture,2,Aortic aneurysm repair; Ectopic pregnancy,Disease/Condition
Saline,2,Deviated septum; cell envelopes and digests debris and microorganisms to remove them from the blood.,Disease/Condition
Sarcoidosis,2,Fibrosis; Restrictive cardiomyopathy,Disease/Condition
Schizophrenia,2,Electroconvulsive therapy; Schizoaffective disorder,Disease/Disorder; Alternative Therapy
Sclera,2,Eye muscle surgery; Osteogenesis imperfecta,Disease/Condition; Surgical Procedure
Scoliosis,2,Friedreich’s ataxia; Osteogenesis imperfecta,Disease/Condition
Seizure,2,Antianxiety drugs; Anticonvulsant drugs,Drug/Medication
Sigmoidoscopy,2,Barium enema; Men’s health,Disease/Condition
Sinusitis,2,"Deviated septum; Times (October 22, 2001): A1.",Disease/Condition
Sleep disorder,2,Insomnia; Night terrors,Disease/Condition
Small,2,Sleeping sickness; TORCH test,Diagnostic Test; Disease/Condition
Speculum,2,Colposcopy; Physical examination,Disease/Condition; Surgical Procedure
Spinal canal,2,Achondroplasia; Lumbar puncture,Disease/Condition
Standardization,2,Minimally invasive surgery; Psychological tests,Diagnostic Test; Surgical Procedure
Stethoscope,2,Isolation; Physical examination,Disease/Condition
Stoma,2,Enterostomy; Ileal conduit surgery,Surgical Procedure
Store,2,Telehealth; Telehealth,Disease/Condition
Streptococcus,2,Erysipelas; Throat culture,Disease/Condition
Stress fracture,2,Pelvic fracture; Shin splints,Disease/Condition
Substance,2,Amnesia; Amnesia,Disease/Condition
Sympathetic nervous system,2,Antihypertensive drugs; Bioelectric therapy,Drug/Medication
Systemic,2,"(accessed August 15, 2013).; Candidiasis",Disease/Condition
Systemic lupus erythematosus,2,Ascites; Perforated septum,Disease/Condition
Teratogen,2,http://www.aafp.org/online/en/home.html.; Oil spills: health effects,Disease/Condition
Testes,2,Testicular self-examination; Testicular surgery,Diagnostic Test
Testicles,2,Testicular surgery; Vasectomy,Diagnostic Test; Surgical Procedure
Testosterone,2,Erectile dysfunction treatment; Female orgasmic disorder,Disease/Disorder; Drug/Medication
The Chem,2,Chemistry screen; Chemistry screen,Disease/Condition
The five,2,Thymoma; resection,Disease/Condition
Thoracentesis,2,Empyema; Pleural effusion,Disease/Condition
Thoracic,2,Aneurysmectomy; Osteomyelitis,Disease/Condition; Surgical Procedure
Thrombocytopenia,2,Lumbar puncture; Platelet count,Disease/Condition
Thrombocytosis,2,Phlebotomy; Platelet count,Disease/Condition; Surgical Procedure
Thrombus,2,Thrombophlebitis; Venous insufficiency,Disease/Condition
Tomography,2,Memory loss; Tomosynthesis,Disease/Condition
Tracheotomy,2,"pauses in breathing, and sudden awakenings; Obstructive sleep apnea",Disease/Condition
Transducer,2,Endoscopic ultrasound; echocardiography,Diagnostic Test; Disease/Condition
Trendelenburg,2,Neonatal care; Prostatectomy,Disease/Condition; Surgical Procedure
Triglycerides,2,Binge eating disorder; Karl Finley,Disease/Disorder; Disease/Condition
Tympanic membrane,2,Aviation medicine; Myringotomy and ear tubes,Disease/Condition; Surgical Procedure
Ulceration,2,Appendicitis; Leishmaniasis,Disease/Condition
Umbilical cord,2,Placenta previa; Placental abruption,Disease/Condition
Umbilicus,2,Appendectomy; Umbilical hernia repair,Disease/Condition; Surgical Procedure
Ureter,2,Retrograde cystography; Vesicoureteral reflux,Disease/Condition
Urethritis,2,Cystitis; Urinary catheterization,Disease/Condition
Urinary retention,2,Enlarged prostate; Urinary catheterization,Disease/Condition
Vertex,2,Breech birth; Breech birth,Disease/Condition
Vitamin,2,Crohn’s disease; Vitamin K,Disease/Disorder; Nutrition/Diet
Vulva,2,Female genital mutilation; cultures,Disease/Condition
Weight cycling,2,Binge eating disorder; Intermittent fasting,Disease/Disorder; Disease/Condition
Window,2,Flower remedies; Intermittent fasting,Disease/Condition
Withdrawal symptoms,2,Anticonvulsant drugs; Smoking cessation drugs,Drug/Medication
X chromosome,2,Fragile X syndrome; X-linked agammaglobulinemia,Disease/Disorder
Yoga,2,Pilates; Tai chi,Disease/Condition
Zoonosis,2,Nipah; Rabies,Disease/Condition
Zygote,2,Ectopic pregnancy; Infertility therapies,Disease/Condition
A clinical study of the TENS migraine,1,Bioelectric therapy,Drug/Medication
A more common side effect is long,1,(PRK),Disease/Condition
A water,1,test,Diagnostic Test
ACTH,1,Anaphylaxis,Disease/Condition
AGE,1,Antioxidants,Disease/Condition
AIDS,1,"general, unrelated to AIDS.",Disease/Condition
"Abarelix
Abarelix may cause immediate life",1,"New York: Marlowe & Company, 2005.",Disease/Condition
Abdominal aneurysm,1,Aortic aneurysm repair,Disease/Condition
"Abnormal results
A higher",1,Lymphocyte typing,Disease/Condition
Abrasion,1,Wounds,Disease/Condition
Abrovirus viruses,1,Ross River Virus,Disease/Condition
Absorption,1,Vitamin toxicity,Nutrition/Diet
Abstinence,1,Safe sex,Disease/Condition
Acamprosate,1,Alcoholism,Disease/Condition
Access site,1,Kidney dialysis,Disease/Condition
Accommodation,1,Vision training,Disease/Condition
Acetabulum,1,Congenital hip dysplasia,Disease/Disorder
Acetaminophen,1,Pneumococcal pneumonia,Disease/Condition
Acetylcholinesterase,1,Insecticide poisoning,Disease/Condition
Achievement Test,1,Learning disorders,Disease/Disorder
Achlorhydria,1,Gastric acid determination,Disease/Condition
"Achondroplasia


KEY TERMS
Cartilage",1,Achondroplasia,Disease/Condition
Achromatopsia,1,Color blindness,Disease/Condition
Acrocyanosis,1,Neonatal care,Disease/Condition
Actinic keratosis,1,Dermabrasion,Disease/Condition
Active immunization,1,Rabies,Disease/Condition
Acute otitis media,1,Myringotomy and ear tubes,Surgical Procedure
Acute phase reactant,1,Haptoglobin test,Diagnostic Test
Addiction,1,dependence,Disease/Condition
Addictive personality,1,Addiction,Disease/Condition
Additional DNA,1,Anthrax,Disease/Condition
Adenocarcinoma,1,"Pancreatic cancer, endocrine",Cancer/Oncological
Adenoma,1,Prolactin test,Diagnostic Test
Adenosine,1,Diseases/SleepApnea/SleepApnea_WhatIs.html.,Disease/Disorder
Adipose tissue,1,Obesity,Disease/Condition
Adjustment,1,Chiropractic,Alternative Therapy
Adjustment disorder,1,Stress,Disease/Condition
Adjustment of prescription or over,1, antibody to EBNA ¼ positive,Disease/Condition
Adjuvant therapy,1,Thymoma,Disease/Condition
Administration of Provenge occurs in a three,1,Provenge (sipuleucel-T),Disease/Condition
Adrenal gland,1,Anabolic steroid use,Disease/Condition
Adrenal glands,1,Adrenalectomy,Surgical Procedure
Adrenal medulla,1,Pheochromocytoma,Disease/Condition
Adrenals,1,Puberty,Disease/Condition
Adrenergic,1,Antihypertensive drugs,Drug/Medication
Adsorption,1,Intestinal disorders,Diagnostic Test
Aedes,1,Chikungunya,Disease/Condition
Aerobe,1,Wound culture,Disease/Condition
Aerobic,1,Prevention,Disease/Disorder
Affect,1,Anxiety,Disease/Condition
Aflatoxins,1,Anti cancer diet,Cancer/Oncological
"Aftercare
A follow",1,Discharge from the hospital,Disease/Condition
"Aftercare
Patients usually have follow",1,(PRK),Disease/Condition
Agar,1,Throat culture,Disease/Condition
Age,1,Antioxidants,Disease/Condition
Agglutinin,1,Scrub typhus,Disease/Condition
Aggravated sexual abuse,1,Rape and sexual assault,Disease/Condition
Agonist,1,Pituitary tumors,Cancer/Oncological
Agoraphobia,1,Anxiety disorders,Disease/Disorder
Akathisia,1,Antianxiety drugs,Drug/Medication
Albers,1,Osteopetroses,Disease/Disorder
Alcohol,1,disease,Disease/Disorder
Aldolase,1,Aldolase test,Diagnostic Test
Algae,1,Scombroid,Disease/Condition
Alginate,1,Wound care,Disease/Condition
Alkaline phosphatase,1,KEY TERMS,Disease/Condition
Alkaloid,1,Caffeine,Disease/Condition
Allele,1,(HLA) test,Diagnostic Test
Allergenic,1,Echinococcosis,Disease/Condition
Allergy,1,Serum sickness,Disease/Condition
Allograft,1,Heart transplantation,Disease/Condition
Allopathic,1,Chiropractic,Alternative Therapy
Allopurinol,1,Gout,Disease/Condition
Aloe vera,1,First aid,Disease/Condition
"Alternatives

Nipple",1,Colic,Disease/Condition
"Alternatives
Because non",1,"Lung cancer, non-small cell",Cancer/Oncological
"Alternatives
Skin",1,Simple mastectomy,Surgical Procedure
"Altha Roberts Edgren
Paula Ford",1,Intravenous rehydration,Disease/Condition
Although the long,1,DASH diet,Nutrition/Diet
Alvarado score,1,Appendicitis,Disease/Condition
Amalgam,1,Tooth decay,Disease/Condition
Ambulation,1,Physical therapy,Alternative Therapy
American Society of Health,1,Electrolyte supplements,Nutrition/Diet
Amnesic,1,Memory loss,Disease/Condition
Amoeba,1,Janis O. Flores,Disease/Condition
Amphotericin B,1,Mucormycosis,Disease/Condition
Amygdala,1,Mutism,Disease/Condition
Amylase,1,Lipase test,Diagnostic Test
Amyloid plaque,1,Memory loss,Disease/Condition
Amyloidosis,1,Restrictive cardiomyopathy,Disease/Condition
"Amyloidosis

Heart

KEY TERMS
Amyloid",1,Amyloidosis,Disease/Disorder
Amylophagia,1,Pica,Disease/Condition
An RDA and an RDH must have an x,1,Dental x rays,Disease/Condition
Anabolic,1,Steroids,Disease/Disorder
Anaerobe,1,Wound culture,Disease/Condition
Anagrelide,1,Polycythemia vera,Disease/Condition
Anal sphincter muscles,1,Endorectal ultrasound,Diagnostic Test
Analgesia,1,Epidural therapy,Drug/Medication
Analgesics,1,Withdrawal syndromes,Disease/Disorder
Analogue,1,Pituitary tumors,Cancer/Oncological
Anatomist,1,Anatomy,Disease/Condition
Androgen,1,Anabolic steroid use,Disease/Condition
Androgenic,1,Steroids,Disease/Disorder
Androstenedione,1,Anabolic steroid use,Disease/Condition
Anesthetic,1,eventually cause blood poisoning.,Disease/Condition
Angina pectoris,1,Antiangina drugs,Drug/Medication
Anisometropia,1,Amblyopia,Disease/Condition
Ankylosing spondylitis,1,(HLA) test,Diagnostic Test
Anode,1,Bone growth stimulation,Disease/Condition
Anogenitorectal syndrome,1,Lymphogranuloma venereum,Disease/Condition
Anorexia,1,Antiparkinson drugs,Drug/Medication
Anorgasmia,1,Female orgasmic disorder,Disease/Disorder
Another long,1,http://www.aafp.org/online/en/home.html.,Disease/Condition
Anovulation,1,Polycystic ovary syndrome,Disease/Disorder
Anoxia,1,Breech birth,Disease/Condition
"Anoxia


K E Y TE R M S
Allergen",1,Anosmia,Disease/Condition
Antagonist,1,Withdrawal syndromes,Disease/Disorder
Antepartum,1,High-risk pregnancy,Disease/Condition
Anterograde,1,Amnesia,Disease/Condition
Anthelminthic,1,Mosquito-borne disease,Disease/Disorder
Antiandrogens,1,Polycystic ovary syndrome,Disease/Disorder
Anticholigerginc,1,Antiparkinson drugs,Drug/Medication
Antidepressant,1,Premenstrual syndrome,Disease/Disorder
Antidepressants,1,Autism,Disease/Condition
Antihistamine,1,Serum sickness,Disease/Condition
Antihistamines,1,Pityriasis rosea,Disease/Condition
"Antihyperlipidemic drugs see
Cholesterol",1,vomiting,Disease/Condition
Antimicrobial resistance,1,Antibiotic resistance,Disease/Condition
"Antinausea drugs


Suppository",1,Antimyocardial antibody test,Diagnostic Test
Antioxidants,1,Aging,Disease/Condition
Antipyretic,1,Fever,Disease/Condition
Antisocial personality,1,Malingering,Disease/Condition
"Antispasmodic drugs


KEY TERMS
Heat stroke",1,Antispasmodic drugs,Drug/Medication
Antithrombotic,1,Aortic valve replacement,Disease/Condition
Antitussives,1,Cough,Disease/Condition
Anxiolytic,1,Anxiety,Disease/Condition
Anyone who has ever had a life,1,HPV vaccination,Disease/Condition
Aortic dissection,1,Turner syndrome,Disease/Disorder
Aortic valve,1,Heart valve replacement,Disease/Condition
Aphasia,1,Mental status examination,Disease/Condition
Apheresis,1,Blood donation and registry,Disease/Condition
Aphthous stomatitis,1,Stomatitis,Disease/Condition
Apical,1,Dental x rays,Disease/Condition
Aplastic,1,Anemias,Disease/Condition
Aplastic anemia,1,Myocardial biopsy,Diagnostic Test
Apoptosis,1,"general, unrelated to AIDS.",Disease/Condition
Appendicitis,1,Neuroendocrine tumors,Cancer/Oncological
Appetite suppressant,1,Obesity,Disease/Condition
Arachnoid mater,1,Meningitis,Disease/Condition
Argon,1,Statistics Reports. 2013. http://www.plasticsurgery.,Surgical Procedure
Arrest,1,resuscitation,Disease/Condition
Arrythmia,1,Kawasaki syndrome,Disease/Disorder
Arterial blood gases test,1,Emphysema,Disease/Condition
Arteriovenous malformation,1,Barbiturate-induced coma,Disease/Condition
Arteritis,1,Kawasaki syndrome,Disease/Disorder
Arthrogram,1,2001): 909–932.,Disease/Condition
Arthroplasty,1,Orthodontics,Disease/Condition
Arthropod,1,Dengue fever,Disease/Condition
Arthrosclerosis,1,Intermittent claudication,Disease/Condition
Arthroscopic knee surgery,1,digestive tracts.,Disease/Condition
Arthroscopy,1,2001): 909–932.,Disease/Condition
Asbestos,1,Asbestosis,Disease/Condition
Ascorbic acid,1,Vitamin toxicity,Nutrition/Diet
Aseptic meningitis,1,Meningitis,Disease/Condition
Asexuality,1,Safe sex,Disease/Condition
Asian men and women are only about one,1,resection,Disease/Condition
Asperger syndrome,1,Autism,Disease/Condition
Aspergilloma,1,Aspergillosis,Disease/Condition
Aspergillosis,1,Hemoptysis,Disease/Condition
Asphyxiation,1,"monoxide (CO), a colorless, odorless gas, is produced",Disease/Condition
Asymmetric,1,Postpolio syndrome,Disease/Disorder
Asymptomatic,1,Polio,Disease/Condition
Atherosclerotic plaque,1,Atherectomy,Surgical Procedure
Atmosphere,1,Recompression treatment,Disease/Condition
Atomizer,1,E-cigarettes,Disease/Condition
Atopy,1,family history of eczema and/or allergies.,Disease/Condition
Atresia,1,Pediatric surgery,Surgical Procedure
Atrial fibrillation,1,Tricuspid valve insufficiency,Disease/Condition
Atrophic,1,Venous insufficiency,Disease/Condition
Attunement,1,whose methods can all be traced back directly to Usui.,Disease/Condition
Audiologist,1,Hearing aids,Disease/Condition
Auditory nerve,1,Cochlear implants,Disease/Condition
Aura,1,Flower remedies,Disease/Condition
Auricle,1,Otitis externa,Disease/Condition
Auscultation,1,Physical examination,Disease/Condition
Autism Screening Questionnaire,1,Autism,Disease/Condition
Autistic psychopathy,1,Asperger syndrome,Disease/Disorder
Auto,1,Wegener’s granulomatosis,Disease/Disorder
Autoimmune response,1,Vulvodynia,Disease/Condition
Autoimmunity,1,Gluten-free diet,Nutrition/Diet
Autoinfection,1,Threadworm infection,Disease/Disorder
Autointoxication,1,Probiotics,Disease/Condition
Autologous,1,Provenge (sipuleucel-T),Disease/Condition
Autologous blood,1,Transplant surgery,Surgical Procedure
Autologous blood donation,1,Laparoscopy,Surgical Procedure
Autologous donation,1,Blood donation and registry,Disease/Condition
Autolytic,1,Wound care,Disease/Condition
Automatism,1,Neurological exam,Disease/Condition
Autonomic nervous system,1,Guided imagery,Disease/Condition
Autopsy,1,Forensic medicine,Disease/Condition
Autosomal,1,Hemochromatosis,Disease/Disorder
Autosomal disease,1,Genetic testing,Diagnostic Test
Autosomal recessive inheritance,1,"in China.’’ PLoS One 8, no. 8 (August 2013):e72606.",Disease/Disorder
Avulsion,1,Wounds,Disease/Condition
Axillary lymph node,1,Lumpectomy,Surgical Procedure
Ayurveda,1,Infant massage,Alternative Therapy
Ayurvedic medicine,1,Fasting,Disease/Condition
B lymphocyte,1,Lymphocytopenia,Disease/Disorder
B-complex vitamins,1,Purpose,Disease/Condition
B-lymphocyte,1,(HLA) test,Diagnostic Test
BMI,1,Childhood nutrition,Nutrition/Diet
"BOOKS

American Society of Health",1,Cephalosporins,Disease/Condition
"BOOKS

Distal phalanx",1,Mallet finger,Disease/Condition
"BOOKS

Sprue",1,sickness.,Disease/Condition
BPH,1,Prostate-specific antigen test,Diagnostic Test
Babinski reflex,1,Neurological exam,Disease/Condition
Bacillus Calmette,1,Tuberculosis,Disease/Condition
Balloon angioplasty,1,Atherectomy,Surgical Procedure
Band cell,1,Whiplash,Disease/Condition
Barbiturate,1,Barbiturate-induced coma,Disease/Condition
Bariatric surgery,1,Obesity and surgery,Surgical Procedure
Bariatrics,1,Obesity,Disease/Condition
Barium enema,1,Colonoscopy,Surgical Procedure
Barium sulfate,1,Barium enema,Disease/Condition
Barium swallow,1,Radical neck dissection,Disease/Condition
Barotrauma,1,Myringotomy and ear tubes,Surgical Procedure
Basal cell cancer,1,serum.,Disease/Condition
"Basal cell carcinoma


K E Y TE R M S
Albinism",1,Basal cell carcinoma,Cancer/Oncological
Baseline,1,Sedation,Disease/Condition
Basophil,1,Whiplash,Disease/Condition
Because the upper GI series is an x,1,Upper GI exam,Disease/Condition
Behavior modification,1,Mutism,Disease/Condition
Behavioral therapy,1,Alcoholism,Disease/Condition
Bence Jones protein,1,Bence Jones protein test,Diagnostic Test
"Benzodiazepines


K E Y TE R M S
Anxiety",1,Benzodiazepines,Disease/Condition
Beta blocker,1,Constipation,Disease/Condition
Beta radiation,1,Pinguecula and pterygium,Disease/Condition
Bile,1,Alagille syndrome,Disease/Disorder
Bile ducts,1,taken.,Disease/Condition
Biliary tract,1,Chemistry screen,Disease/Condition
Binge drinking,1,Alcoholism,Disease/Condition
Binge eating disorder,1,Obesity,Disease/Condition
Binocular,1,Vision training,Disease/Condition
Binocular fixation,1,Nystagmus,Disease/Condition
Biodiversity,1,Organic food,Disease/Condition
Biological tissue valve,1,Aortic valve replacement,Disease/Condition
Bioterrorism,1,Q fever,Disease/Condition
Biotin,1,Dermatitis,Disease/Condition
Biotype,1,developing countries because of lack of access to hospitals and treatment.,Disease/Condition
Birth asphyxia,1,Therapeutic hypothermia,Disease/Condition
Bladder mucosa,1,Prostatectomy,Surgical Procedure
Bladder training,1,procedure,Disease/Condition
Blended family,1,Family therapy,Alternative Therapy
Blogging,1,Internet addiction disorder,Disease/Disorder
Blood clot,1,Hypercoagulation disorders,Disease/Disorder
Blood culture,1,Meningococcemia,Disease/Condition
Blood vessels,1,arteries,Disease/Condition
Body image,1,Cancer survivorship issues,Cancer/Oncological
Bolus,1,Esophageal function tests,Diagnostic Test
"Bone and muscle loss
In zero",1,Aviation medicine,Disease/Condition
"Bone cancer

Abnormal results

KEY TERMS
Biopsy",1,Bone biopsy,Diagnostic Test
Bone densitometry,1,Bone x rays,Disease/Condition
Bone densitometry test,1,Transplant surgery,Surgical Procedure
Bone marrow suppression,1,intent,Disease/Condition
Bone marrow transplant,1,Aplastic anemia,Disease/Disorder
Booster,1,Whooping cough,Disease/Condition
Botulism may be confused with Guillain,1,Botulism,Disease/Condition
Bowel lumen,1,Barium enema,Disease/Condition
Braces,1,Malocclusion,Disease/Condition
Bradycardia,1,Athletic heart syndrome,Disease/Disorder
Bradykinesia,1,Antiparkinson drugs,Drug/Medication
Brain death,1,Transplant surgery,Surgical Procedure
Breast,1,Antihypertensive drugs,Drug/Medication
Breast self,1,Breast reduction,Disease/Condition
Breech,1,Breech birth,Disease/Condition
Bromocriptine,1,Lactation,Disease/Condition
Bronchial lavage,1,Aspergillosis,Disease/Condition
Bronchial tubes,1,Common cold,Disease/Condition
Bronchiole,1,Emphysema,Disease/Condition
"Bronchiolitis


Tests

KEY TERMS
Bronchiole",1,of other underlying disorders.,Disease/Disorder
Bronchoscope,1,Foreign objects,Disease/Condition
Bronchoscopy,1,Lung biopsy,Diagnostic Test
Bronchoscopy scan,1,Fibrosis,Disease/Condition
Buffy coat,1,Leukemia stains,Cancer/Oncological
Bulbar muscles,1,Amyotrophic lateral sclerosis,Disease/Condition
Bulimia,1,teeth during sleep,Disease/Condition
"Bunion


KEY TERMS
Orthopedics",1,Bunion,Disease/Condition
Bupropion,1,Smoking cessation drugs,Drug/Medication
Burnout,1,Stress,Disease/Condition
Buspirone,1,Smoking cessation drugs,Drug/Medication
Butterfly bandage,1,Wounds,Disease/Condition
CAGE,1,Alcoholism,Disease/Condition
CDC,1,Narcotics,Disease/Condition
CEA has been helpful when used in a follow,1,Colon cancer,Cancer/Oncological
CGG or CGG sequence,1,Fragile X syndrome,Disease/Disorder
CNS depressant,1,Drug metabolism/interactions,Drug/Medication
Cadaver,1,Anatomy,Disease/Condition
Cadaveric donor,1,Transplant surgery,Surgical Procedure
Caffeine can cause anxiety,1,Anxiety,Disease/Condition
Calcification,1,Peyronie’s disease,Disease/Disorder
Calcified,1,Heart valve repair,Disease/Disorder
Calcium channel blocker,1,Constipation,Disease/Condition
Calicivirus,1,Noroviruses,Disease/Condition
Callback,1,Tomosynthesis,Disease/Condition
Caloric testing,1,Gulf War syndrome,Disease/Disorder
Calorie,1,Obesity,Disease/Condition
Canadian AASs include Deca,1,Steroids,Disease/Disorder
"Canadian brand names

Corticosteroid",1,Steroids,Disease/Disorder
Canaliculi,1,Dacryocystitis,Disease/Condition
Cancer,1,Polycystic kidney disease,Disease/Disorder
Cancer staging,1,"Ear, nose, and throat surgery",Surgical Procedure
Candidiasis,1,Proctitis,Disease/Condition
Canines,1,Animal bite infections,Disease/Disorder
Cannabinoid,1,(Spice),Disease/Condition
Cannabinoids,1,Marijuana,Disease/Condition
Capillaries,1,Platelet count,Disease/Condition
Capsaicin,1,Multiple chemical sensitivity,Disease/Condition
Carbon dioxide,1,Statistics Reports. 2013. http://www.plasticsurgery.,Surgical Procedure
Carbon monoxide,1,Antiparkinson drugs,Drug/Medication
Carcinogen,1,Oil spills: health effects,Disease/Condition
Carcinoma in situ,1,Pap test,Diagnostic Test
Cardiac hypertrophy,1,Athletic heart syndrome,Disease/Disorder
Cardiac rehabilitation,1,Congestive heart failure,Disease/Disorder
Cardiac shunt,1,Aftercare,Disease/Condition
Cardiomegaly,1,Athletic heart syndrome,Disease/Disorder
Cardiopulmonary bypass,1,Heart transplantation,Disease/Condition
Cardiopulmonary bypass machine,1,Heart valve replacement,Disease/Condition
Cardiovascular disease,1,acids,Disease/Condition
Cardioversion,1,Ventricular fibrillation,Disease/Condition
Cardioverter,1,defibrillator,Disease/Condition
Caries,1,Tooth decay,Disease/Condition
Carnassials,1,Animal bite infections,Disease/Disorder
Carotid artery,1,Atherectomy,Surgical Procedure
Cartwright,1,Affordable Care Act,Disease/Condition
Casein hydrolysate,1,Galactosemia,Disease/Condition
Catabolic,1,Anabolic steroid use,Disease/Condition
Catabolism,1,Drug metabolism/interactions,Drug/Medication
Catarrhal stage,1,Whooping cough,Disease/Condition
Cathartic,1,Esophageal function tests,Diagnostic Test
Cathode,1,Bone growth stimulation,Disease/Condition
Cauterize,1,Statistics Reports. 2013. http://www.plasticsurgery.,Surgical Procedure
Cecum,1,Appendectomy,Surgical Procedure
Celiac disease,1,used without a doctor’s approval.,Disease/Condition
Cellulitis,1,Abscess,Disease/Condition
Cellutitis,1,Bedsores,Disease/Condition
Central obesity,1,Body mass index,Disease/Condition
Cephalopelvic disproportion,1,Breech birth,Disease/Condition
Cercariae,1,Schistosomiasis,Disease/Condition
Cerebellar,1,Optic atrophy,Disease/Disorder
Cerebellum,1,Progressive supranuclear palsy,Disease/Condition
Cerebrospinal fluid,1,Ventricular shunt,Disease/Condition
Cerebrospinal fluid analysis,1,Demographics,Disease/Condition
Cerebrovascular accident,1,Prostatectomy,Surgical Procedure
Cerumen,1,Otitis externa,Disease/Condition
Cervical cancer,1,HPV vaccination,Disease/Condition
Cervical cancer screening,1,HPV vaccination,Disease/Condition
"Cervical spondylosis


shock",1,Cervical spondylosis,Disease/Condition
Cestodiasis,1,Tapeworm diseases,Disease/Disorder
Chakra,1,whose methods can all be traced back directly to Usui.,Disease/Condition
Chelate,1,the kidney to produce more urine) to decrease swelling.,Disease/Condition
Chelation therapy,1,Lead poisoning,Disease/Condition
Chemo brain,1,Cancer survivorship issues,Cancer/Oncological
"Chemobrasion see Skin resurfacing

Phlebitis",1,Chemistry screen,Disease/Condition
Chest x,1,Lung biopsy,Diagnostic Test
Chewing sugar,1,teeth during sleep,Disease/Condition
Children or adults can take in nicotine from e,1,E-cigarettes,Disease/Condition
Cholecystectomy,1,Karl Finley,Disease/Condition
Cholecystitis,1,Laparoscopy,Surgical Procedure
Cholelithotomy,1,Karl Finley,Disease/Condition
Cholestatis,1,KEY TERMS,Disease/Condition
Chorion,1,Multiple pregnancy,Disease/Condition
Chorionic villus sampling,1,Genetic testing,Diagnostic Test
Chromatography,1,"G A LE EN CY C LO PE DI A O F ME D IC I NE , 5 T H E DI T IO N",Disease/Condition
Chromosomes,1,Genetic testing,Diagnostic Test
Chronic disease,1,Anti-inflammatory diets,Disease/Disorder
Chronic hepatitis,1,esophagus and stomach,Disease/Disorder
Chronic otitis media,1,Myringotomy and ear tubes,Surgical Procedure
Chymopapain,1,Chemonucleolysis,Disease/Condition
Circulation,1,resuscitation,Disease/Condition
Cleft plate,1,http://www.aafp.org/online/en/home.html.,Disease/Condition
Clindamycin,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Clinical aromatherapy,1,Lymphedema,Disease/Condition
Clinical nutrition,1,Naturopathic medicine,Disease/Condition
Clinically dysfunctional anger,1,Anger management,Disease/Condition
Clitoridectomy,1,Female genital mutilation,Disease/Condition
Closed,1,normal flora.,Disease/Condition
Clotting factors,1,Vitamin K,Nutrition/Diet
Cochlea,1,Cochlear implants,Disease/Condition
Coenzyme,1,Vitamin K,Nutrition/Diet
Cognition,1,Mental status examination,Disease/Condition
Cognitive therapy,1,disorder,Disease/Disorder
Colchicine,1,Gout,Disease/Condition
Colitis,1,Cephalosporins,Disease/Condition
Colon,1,Probiotics,Disease/Condition
Colonization,1,Meningococcemia,Disease/Condition
Colonize,1,Candidiasis,Disease/Condition
Colonized,1,Isolation,Disease/Condition
Colonoscope,1,Colonoscopy,Surgical Procedure
Colorectal cancer,1,Sigmoidoscopy,Surgical Procedure
Combat medic,1,Military medicine,Disease/Condition
Comedolytic,1,Acne,Disease/Condition
Commensalism,1,Microbiome,Disease/Condition
Communicable,1,Microbiology,Disease/Condition
Compartment,1,Volkmann’s contracture,Disease/Condition
Compartment syndrome,1,Volkmann’s contracture,Disease/Condition
Complement,1,Meningococcemia,Disease/Condition
Complex carbohydrates,1,Low-carbohydrate diets,Nutrition/Diet
Compound heterozygotes,1,Pyruvate kinase deficiency,Disease/Disorder
Compressed air,1,Recompression treatment,Disease/Condition
Compulsion,1,Anxiety disorders,Disease/Disorder
Concentration,1,Diabetes insipidus,Disease/Condition
Cones,1,Color blindness,Disease/Condition
Confabulation,1,dermatophytes or yeast under the microscope. The KOH,Disease/Condition
Conjuctiva,1,Pinguecula and pterygium,Disease/Condition
Conscious sedation,1,Laparoscopy,Surgical Procedure
Constipation,1,Senior nutrition,Nutrition/Diet
Contact dermatitis,1,Vulvodynia,Disease/Condition
Continence,1,Hypospadias and epispadias,Disease/Disorder
Continuity,1,Tai chi,Disease/Condition
