node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
D01435,Disease,Vulvar cancer,"Vulvar cancer refers to an abnormal, cancerous growth in the external female genitalia.",endocrine; dermatological; renal; oncological,Severe,Adults/Elderly,C00-D49,No,
D01436,Disease,Vulvodynia,Vulvodynia is chronic pain of the vulva—the external or visible portion of the female genitalia—in the absence of vulvar or vaginal infection or skin disease. Vulvodynia is not a well-defined condition and its cause is usually unknown.,respiratory; neurological; musculoskeletal; endocrine,Severe,All ages,Various,No,Genetic/Hereditary
D01437,Disease,macroglobulinemia,"Waldenstrom’s macroglobulinemia is a rare, chronic cancer of the immune system that is characterized by hyperviscosity, or thickening, of the blood.",neurological; gastrointestinal; musculoskeletal; immunological,Unknown,All ages,Various,No,
D01438,Disease,Warts,"Warts are small, benign growths caused by a viral infection of the skin or mucous membrane. The virus infects the surface layer. The viruses that cause warts are members of the human papilloma virus (HPV) family. Warts are not cancerous but some strains of HPV, usually not associated with warts, hav",dermatological; infectious; hematological; oncological,Mild,All ages,Various,No,
D01439,Disease,Wegener’s granulomatosis,"Wegener’s granulomatosis is a very rare disease that affects many different organs and systems of the body. It mainly attacks the respiratory system (sinuses, nose, windpipe, and the lungs) and the kidneys. One of the main features of the disease is an inflammation of the blood vessels (vasculitis).",respiratory; immunological; renal; infectious,Unknown,All ages,Various,Yes,Genetic/Hereditary
D01440,Disease,West Nile virus,"West Nile virus (WNV) is a mosquito-borne virus that causes viral illnesses of varying seriousness, G AL E E N CY C LO PE DI A O F M E D IC I NE , 5 T H E DI T IO N Neuroinvasive Total Nonneuroinvasive Deaths Deaths Deaths Year No. of cases No. (%) No. of cases No. (%) No. of cases No. (%) 1999 2000",neurological; infectious; hematological,Critical,All ages,Various,Yes,
D01441,Disease,Wheezing,Wheezing is a high-pitched whistling sound associated with labored breathing.,cardiovascular; respiratory; musculoskeletal; immunological,Mild,Adults/Elderly,Various,No,Genetic/Hereditary
D01442,Disease,Whiplash,"Whiplash is a sudden, moderate-to-severe strain affecting the bones, discs, muscles, nerves, or tendons of the neck.",neurological; musculoskeletal; reproductive; hematological,Severe,All ages,Various,No,
D01443,Disease,cell envelopes and digests debris and microorganisms to remove them from the blood.,A white blood cell (WBC) count determines the concentration of white blood cells in the patient’s blood. A differential determines the percentage of each of the five types of mature white blood cells. Purpose A WBC count is included in general health examinations and to help investigate a variety of,musculoskeletal; immunological; infectious; hematological,Unknown,All ages,Various,No,
D01444,Disease,Whole-bowel irrigation,"Whole-bowel irrigation is performed to clean out the bowels. It involves the administration of a special solution, often polyethylene glycol, either by drinking or through a nasogastric tube placed into the stomach. The solution prompts very voluminous liquid diarrhea; the goal of whole-bowel irriga",gastrointestinal,Unknown,All ages,Various,No,
